@relation 'converted_data'

@attribute 'count' string
@attribute 'keyword' string

@data
{0 '1321',1 'Summer'}
{0 '1315',1 'Women\'s Fashion'}
{0 '1082',1 'Fashion'}
{0 '961',1 'Women'}
{0 '905',1 'Casual'}
{0 '636',1 'Plus Size'}
{0 '580',1 'sleeveless'}
{0 '549',1 'Dress'}
{0 '540',1 'Shorts'}
{0 '507',1 'Tops'}
{0 '328',1 'sexy'}
{0 '324',1 'Beach'}
{0 '300',1 'Sleeve'}
{0 '296',1 'short sleeves'}
{0 '296',1 'Print'}
{0 '281',1 'Shirt'}
{0 '265',1 'Tank'}
{0 '254',1 'Necks'}
{0 '241',1 'V-neck'}
{0 '235',1 'printed'}
{0 '235',1 'T Shirts'}
{0 '219',1 'tank top'}
{0 '216',1 'Cotton'}
{0 '212',1 'summer dress'}
{0 '212',1 'Ladies'}
{0 '204',1 'Loose'}
{0 '201',1 'blouse'}
{0 '197',1 'pants'}
{0 '189',1 'Vest'}
{0 '185',1 'beach dress'}
{0 '174',1 'women dress'}
{0 '174',1 'Floral'}
{0 '173',1 'Lace'}
{0 '170',1 'Mini dress'}
{0 '164',1 'Mini'}
{0 '162',1 'slim'}
{0 '151',1 'Sleeveless dress'}
{0 '142',1 'Women Fashion'}
{0 '139',1 'Round neck'}
{0 '136',1 'casual dress'}
{0 '130',1 'Waist'}
{0 '129',1 'party'}
{0 '123',1 'long dress'}
{0 '120',1 'Party Dress'}
{0 '109',1 'Sport'}
{0 '108',1 'Floral print'}
{0 '107',1 'Slim Fit'}
{0 '106',1 'Spaghetti'}
{0 '104',1 'backless'}
{0 '99',1 'jumpsuit'}
{0 '95',1 'Short pants'}
{0 '91',1 'Bikini'}
{0 '88',1 'Swimsuit'}
{0 '86',1 'loose dress'}
{0 '86',1 'high waist'}
{0 '86',1 'boho'}
{0 '85',1 'Swimwear'}
{0 '84',1 'Swimming'}
{0 '79',1 'Dresses'}
{0 '77',1 'Halter'}
{0 '74',1 'Skirts'}
{0 '73',1 'Spaghetti Strap'}
{0 '70',1 'summer dresses'}
{0 '70',1 'sleeveless tops'}
{0 '68',1 'trousers'}
{0 '66',1 'solid color'}
{0 '61',1 'summer t-shirts'}
{0 '61',1 'Suits'}
{0 '60',1 'Elastic'}
{0 '60',1 'Deep V-Neck'}
{0 '58',1 'summer tops'}
{0 '56',1 'women top'}
{0 '54',1 'Sexy Dress'}
{0 '54',1 'Ladies Fashion'}
{0 '54',1 'Casual pants'}
{0 '53',1 'women Jumpsuit'}
{0 '53',1 'letter print'}
{0 '51',1 'maxi dress'}
{0 '51',1 'crop top'}
{0 '51',1 'Vintage'}
{0 '50',1 'Men\'s Fashion'}
{0 '49',1 'Yoga'}
{0 '49',1 'Summer Fashion'}
{0 '49',1 'Pleated'}
{0 '49',1 'Lace Up'}
{0 '47',1 'Fitness'}
{0 '45',1 'topsamptshirt'}
{0 '45',1 'Women Vest'}
{0 '45',1 'Spring'}
{0 '44',1 'summer shorts'}
{0 '44',1 'Men'}
{0 '43',1 'tunic'}
{0 '43',1 'Tops & T-Shirts'}
{0 '41',1 'off shoulder'}
{0 '41',1 'Pure Color'}
{0 '41',1 'Casual T-Shirt'}
{0 '40',1 'Tops & Blouses'}
{0 '39',1 'boho dress'}
{0 '39',1 'Floral dress'}
{0 '38',1 'plus size dress'}
{0 '38',1 'cute'}
{0 '38',1 'chiffon'}
{0 '38',1 'Funny'}
{0 '36',1 'black'}
{0 '36',1 'Cotton T Shirt'}
{0 '35',1 'Jeans'}
{0 '34',1 'polka dot'}
{0 '34',1 'Overalls'}
{0 '34',1 'Flowers'}
{0 '34',1 'Cotton Dress'}
{0 '33',1 'beach wear'}
{0 '33',1 'Polkas'}
{0 '33',1 'Pocket'}
{0 '33',1 'Lace Dress'}
{0 '33',1 'Bras'}
{0 '32',1 'women shorts'}
{0 '32',1 'short dress'}
{0 '32',1 'camisole'}
